Config. No.,Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (old),T_I (old),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab
DOE4-45,,,,,,,,,,-0.5,0.2,2,1,True,0.2,0.8,3
DOE4-46,,,,,,,,,,0.5,0.5,1,1,False,0.8,0.5,3
DOE4-47,,,,,,,,,,0.5,0.8,3,1,False,0.2,0.8,1
DOE4-48,,,,,,,,,,0.5,0.5,2,2,True,0.5,0.5,2
DOE4-49,,,,,,,,,,0,0.5,2,2,False,0.8,0.5,1
DOE4-50,,,,,,,,,,-0.5,0.5,3,1,False,0.8,0.8,3
DOE4-51,,,,,,,,,,-0.5,0.8,3,1,True,0.5,0.5,1
DOE4-52,,,,,,,,,,0,0.5,2,3,True,0.5,0.8,2
DOE4-53,,,,,,,,,,0,0.8,3,1,False,0.8,0.2,3
DOE4-54,,,,,,,,,,0,0.8,2,2,False,0.5,0.2,2
DOE4-55,,,,,,,,,,-0.5,0.2,3,1,False,0.8,0.8,2
DOE4-56,,,,,,,,,,0.5,0.2,1,3,False,0.8,0.5,1
DOE4-57,,,,,,,,,,-0.5,0.5,1,1,True,0.2,0.2,1
DOE4-58,,,,,,,,,,0.5,0.8,1,2,True,0.2,0.5,1
DOE4-59,,,,,,,,,,-0.5,0.2,2,3,True,0.5,0.2,1
DOE4-60,,,,,,,,,,-0.5,0.8,2,1,True,0.8,0.2,3
DOE4-61,,,,,,,,,,0,0.8,2,3,True,0.2,0.2,3
DOE4-62,,,,,,,,,,0,0.2,3,3,False,0.8,0.2,3
DOE4-63,,,,,,,,,,0.5,0.2,3,2,True,0.8,0.8,1
DOE4-64,,,,,,,,,,0,0.5,2,2,False,0.2,0.5,3
DOE4-65,,,,,,,,,,0.5,0.2,1,3,True,0.2,0.2,3
DOE4-66,,,,,,,,,,-0.5,0.8,1,3,True,0.5,0.5,3
DOE4-67,,,,,,,,,,-0.5,0.2,1,2,False,0.5,0.8,1
DOE4-68,,,,,,,,,,-0.5,0.2,1,1,True,0.8,0.5,3
DOE4-69,,,,,,,,,,-0.5,0.2,2,3,False,0.8,0.8,2
DOE4-70,,,,,,,,,,-0.5,0.8,2,1,False,0.2,0.8,1
DOE4-71,,,,,,,,,,0,0.8,3,3,True,0.2,0.2,1
DOE4-72,,,,,,,,,,0.5,0.2,2,1,False,0.8,0.5,3
DOE4-73,,,,,,,,,,0.5,0.8,1,1,True,0.2,0.8,3
DOE4-74,,,,,,,,,,-0.5,0.5,2,3,False,0.5,0.5,2
DOE4-75,,,,,,,,,,-0.5,0.5,1,1,False,0.5,0.2,3
DOE4-76,,,,,,,,,,0,0.5,2,2,False,0.5,0.5,2
DOE4-77,,,,,,,,,,-0.5,0.5,3,3,True,0.8,0.2,3
DOE4-78,,,,,,,,,,0.5,0.8,1,3,False,0.2,0.8,3
DOE4-79,,,,,,,,,,0.5,0.8,3,3,False,0.8,0.8,2
DOE4-80,,,,,,,,,,0.5,0.8,3,1,True,0.5,0.8,3
DOE4-81,,,,,,,,,,-0.5,0.2,3,1,False,0.2,0.2,1
DOE4-82,,,,,,,,,,0,0.8,1,1,True,0.8,0.8,2
DOE4-83,,,,,,,,,,0.5,0.2,3,1,False,0.8,0.2,1
DOE4-84,,,,,,,,,,-0.5,0.2,3,2,True,0.8,0.2,2
DOE4-85,,,,,,,,,,0.5,0.8,3,3,True,0.8,0.5,3
DOE4-86,,,,,,,,,,0.5,0.2,2,3,False,0.5,0.2,2
DOE4-87,,,,,,,,,,0,0.2,3,1,True,0.5,0.5,3
DOE4-88,,,,,,,,,,0,0.5,1,3,False,0.2,0.8,1
DOE4-89,,,,,,,,,,0.5,0.8,1,3,False,0.8,0.2,3
DOE4-90,,,,,,,,,,-0.5,0.2,1,3,False,0.2,0.2,3
DOE4-91,,,,,,,,,,0.5,0.2,3,1,True,0.2,0.2,3
DOE4-92,,,,,,,,,,-0.5,0.8,3,3,False,0.2,0.5,3
DOE4-93,,,,,,,,,,-0.5,0.2,3,3,False,0.2,0.8,1
DOE4-94,,,,,,,,,,0.5,0.5,2,2,True,0.8,0.5,2
DOE4-95,,,,,,,,,,-0.5,0.8,1,3,False,0.2,0.2,1
DOE4-96,,,,,,,,,,0,0.2,1,1,False,0.2,0.5,2
DOE4-97,,,,,,,,,,0.5,0.8,3,1,True,0.8,0.2,1
DOE4-98,,,,,,,,,,0,0.5,2,2,True,0.5,0.5,2
DOE4-99,,,,,,,,,,0,0.5,2,2,False,0.5,0.5,2
DOE4-100,,,,,,,,,,0.5,0.8,3,1,False,0.2,0.2,3
